topico,numero,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,resposta
HELMINTOS,111,Marque a alternativa INCORRETA sobre *Bunostomum spp.*:,A forma infectante pode ser adquirida tanto por via oral quanto percutânea.,As larvas que entram pela pele migram pelo coração e pulmões antes de atingir o intestino.,O parasita está relacionado a quadros de anemia e edema.,A forma L3 adquirida pela via oral passam pelo pulmão e coração antes de chegarem no intestino,,D
HELMINTOS,112,Marque a alternativa CORRETA sobre a infecção causada por Strongyloides papillosus:,A infeção só ocorre pela via oral e percutanea,"A infecção pode ocorrer por via oral, percutânea e também transmamária em neonatos.",A L2 é a forma infectante da via oral,"O parasita elimina ovos em estágio de mórula, que se desenvolvem no ambiente.",,B
HELMINTOS,113,Marque a alternativa INCORRETA sobre a biologia de *Strongyloides papillosus*:,O ciclo de vida pode incluir uma fase de vida livre com reprodução sexuada.,A forma adulta parasitária é composta apenas por machos haploides que se reproduzem sexualmente no intestino.,A espécie apresenta fêmeas partenogenéticas triploides na fase parasitária.,A larva L4 é resistente ao ambiente ácido do estômago.,,B
HELMINTOS,114,"Em relação ao gênero Oesophagostomum, é correto afirmar:",A forma infectante L3 penetra nas glândulas gástricas formando nódulos que se rompe após se tornar L4,As larvas se transformam em L4 fora da mucosa intestinal.,O rompimento de nódulos causa lesão e diarreia no intestino grosso.,O rompimento dos nódulos na fase L5 resulta em lesão e diarreia no intestino grosso,,C
HELMINTOS,115,Marque a alternativa CORRETA sobre *Oesophagostomum spp.*:,"A forma infectante é a larva L2, que se desenvolve na corrente sanguínea.","A larva L3 penetra na mucosa do intestino grosso, formando nódulos.",A infecção ocorre exclusivamente por via transmamária em animais jovens.,A espécie *O. columbiano* é encontrada em bovinos e suínos.,,B
HELMINTOS,116,Doença que  causa condenação de vísceras  intestinais.,Hemoncose,Hidatidose,Cisticercose,Oesophagostomose,,D
HELMINTOS,117,As formas de infecção pelo parasita *Toxocara vitulorum*  ocorre:,Pela via oral e transplacentária,Pela via oral e transmamária,Pela via transmamária e cutânea,"Pela via oral, transmamária e cutânea",,B
HELMINTOS,118,Qual alternativa está correta sobre a toxocara vitulorum,Pertence a família anoplocephalidae,São parasitas pequenos,Infecção ocorre pela via oral e transplacentária,Animais podem apresentar problemas neurológicos devido absorção de excretas do parasita,,D
HELMINTOS,119,Quais desses NÃO é considerado uma forma assertiva de controle dos helmintos em ruminantes?,Realizar descontaminação das pastagens,Tratar todos os animais para eliminar 100% dos helmintos do rebanho,Separar animais por faixa etária,Utilizar o método FAMACHA como ferramenta auxiliar na identificação de animais parasitados,Trocar princípio ativo dos fármacos após uso prolongado do mesmo,B
HELMINTOS,120,Sobre a enfermidade conhecida como ferida de verão. Qual agente parasitário está envolvido:,"Habronema microstoma, Habronema muscae, Draschia megastoma",Anoplocephla sp e habronema microstoma  e Draschia megastoma,Draschia microstoma e Habronema muscae,Parascaris equorum e Draschia microstoma e habronema microstoma,"Habronema microstoma, Habronema muscae, parascaris equorum",A
HELMINTOS,121,Marque a alternativa INCORRETA sobre o ciclo dos parasitas *Habronema* e *Draschia*:,"A transmissão envolve insetos como moscas, que atuam como vetores e hospedeiros intermediários.",A forma L3 é responsável pela infecção e pode seguir um ciclo errático ao invadir tecidos fora do trato digestivo.,"Os ovos eliminados nas fezes contém as larvas de terceiro estágio L3, as formas L4,  ocorrem dentro da mosca, sendo L4 a forma infectante",A infecção cutânea é mais comum em períodos quentes e úmidos do ano.,,C
HELMINTOS,122,Marque a alternativa CORRETA sobre *Strongyloides westeri*:,"A forma infectante é o ovo embrionado com L1, ingerido pelo potro nas primeiras horas de vida.",A infecção por *S. westeri* ocorre apenas por via oral e  transplacentária,"Os potros podem se infectar por via oral, percutânea ou transmamária com larvas L3.",Os machos triploides são os responsáveis pela fase parasitária no intestino.,,C
HELMINTOS,123,Marque a alternativa INCORRETA sobre o Strongyloides westeri:,"A eliminação ocorre por ovos larvados, geralmente encontrados nas fezes.","Os indivíduos parasitários são fêmeas triploides, que se reproduzem por partenogênese.",O parasito frequentemente causa quadros severos de pneumonia e necrose hepática em potros recém-nascidos.,Infecção só ocorre pela via oral e transmamária,,C
HELMINTOS,124,Marque a alternativa CORRETA sobre Parascaris equorum:,"Os potros geralmente eliminam larvas L3 nas fezes, que se tornam infectantes no ambiente.",A forma infectante é a larva L1 presente no intestino dos equinos adultos.,"A infecção ocorre por ovos contendo larva L3, e o parasito realiza migração hepato-traqueal.",A forma adulta vive no fígado e causa necrose extensa nesse órgão,,C
HELMINTOS,125,Marque a alternativa CORRETA sobre as características de Parascaris equorum:,"O parasita é autolimitante após os 18 meses de idade, e os adultos são fontes de infeção",Os vermes adultos medem cerca de 5 a 6 cm e vivem no sangue periférico.,"Os ovos desse parasita são frágeis, sobrevivendo por no máximo 3 semanas no ambiente.",A infecção não apresenta cólica trombo embólicas,,A
HELMINTOS,126,Marque a alternativa INCORRETA sobre Parascaris equorum:,É comum a transmissão transmamária devido à latência da L3 nos tecidos da égua.,A presença de vermes adultos pode levar à obstrução intestinal e cólicas em potros.,"Animais adultos são resistentes e não eliminam ovos, devido a resistência não chegam nem a eliminar nas fezes","Em alguns casos, sinais neurológicos como tremores e problemas motores podem ser observados.",,C
HELMINTOS,127,Marque a alternativa CORRETA sobre a Anoplocephala sp,A forma infectante é L3 presente nas fezes do hospedeiro definitivo.,A infecção ocorre pela ingestão de ácaros oribatídeos,"Esses parasitas são comuns em cães, gatos e humanos.",As formas adultas causam lesões principalmente no sistema respiratório,,B
HELMINTOS,128,Sobre a Anoplocephala sp quais sinais clínicos não estão relacionados com sua infeção?,Cólicas e pneumonias,Lesão hepática e pneumonias,Cólicas e obstrução,Pneumonias e dispneia,,C
HELMINTOS,129,Qual é um dos principais sinais clínicos associados à infecção por Oxyuris equi?,Hemorragia digestiva,Prurido anal,Edema subcutâneo,Diarreia osmótica,Prolapso retal,B
HELMINTOS,130,Marque a alternativa INCORRETA sobre o ciclo e diagnóstico dos oxyuris equi:,"O período pré-patente é de aproximadamente 5 meses, dificultando o diagnóstico precoce.",O diagnóstico pode incluir o uso de fita adesiva aplicada na região perianal para identificação de ovos.,O ciclo dos oxiúros exige um hospedeiro intermediário para o desenvolvimento da L3.,A infecção pode ser identificada clinicamente pela presença de prurido anal e alopecia e visualizção ovos e femeas no exame laboratorial,,C
HELMINTOS,131,O parasita Oxyuris principalmente em qual espécie?,Cães e gatos,Apenas cães,"Cães, humanos e equinos",Equinos,,D
HELMINTOS,132,Qual a principal complicação causada pela migração larval de Strongylus vulgaris?,Insuficiência renal,Arterite e cólica tromboembólica,Hepatite parasitária,Pneumonia hemorrágica,,B
HELMINTOS,133,"Em relação aos pequenos estrôngilos, qual característica epidemiológica favorece sua alta prevalência?",Longo período pré-patente (PPP),Resistência a temperatura ambiental,PPP mais curto (6 a 12 semanas),Necessidade de hospedeiro intermediário,Vermes adultos são muito resistente as vermífugos,C
HELMINTOS,134,Qual característica não pertence a pequenos estrôngilos,Estão relacionados a grande quantidade de vermes,PPP é curto \- 6 a 12 semanas,As larvas penetram na parede do IG e são adultas,Realizam migração transmural,,D
HELMINTOS,135,"Sobre os pequenos estrôngilos (ciastomíneos), assinale a alternativa CORRETA:","A infecção é rara e geralmente assintomática, não sendo associada a cólicas.",Larvas penetram a parede do intestino grosso e se tornam adultos na cavidade peritoneal.,São a principal causa de cólicas em equinos devido à intensa migração larval na parede intestinal.,Apenas animais com mais de 3 anos de idade são acometidos.,,C
HELMINTOS,136,Marque a alternativa INCORRETA sobre o tratamento e controle de estrôngilos em equinos:,A maioria dos vermífugos são administrados por via oral.,As formas de controle rotação de pastagem e .pastejo misto e retiradas das fezes do pasto,Mesmo os vermes aderidos à parede intestinal são facilmente eliminados com qualquer anti-helmíntico.,"O controle deve ser feito em todas as classes de equídeos, incluindo tração e esporte.",,C
HELMINTOS,137,O diagnóstico laboratorial da Dictyocaulose em bovinos é preferencialmente feito por:,Método Knott modificada,OPG,Método de Baermann para L1 nas fezes,Dosagem de IgM,,C
HELMINTOS,138,A infecção por Dictyocaulus arnfieldi em equídeos é geralmente:,Sintomática e fatal em cavalos.,"Assintomática em equinos, mas pode causar tosse e hiperpneia em asininos e muares após exercício.",Transmitida exclusivamente pela ingestão de moluscos infectados.,Limitada a animais com mais de 10 anos de idade.,,B
HELMINTOS,139,Marque a alternativa INCORRETA sobre os sintomas clínicos da fase de patência da Dictiocaulose :,Aumento da frequência respiratória e tosse são sinais comuns.,Enfisema e edema podem ocorrer devido ao acúmulo de muco e vermes.,"A infecção geralmente se limita ao intestino, com diarreia como principal sinal.",Pode levar à morte em casos graves.,,C
HELMINTOS,140,Qual das seguintes alternativas está CORRETA sobre a epidemiologia de D. viviparus?,Os adultos são sempre sintomáticos e devem ser descartados.,O parasita é mais comum em regiões áridas e muito quentes.,"Os bezerros jovens são mais suscetíveis, especialmente após 1 ano de pastejo.",O clima não influencia na disseminação do parasita.,,C
HELMINTOS,141,Marque a alternativa INCORRETA sobre o controle da dictiocaulose:,Separar os animais por idade é uma das medidas de prevenção.,As larvas de D. viviparus são extremamente resistentes ao calor e à seca.,Permitir que o bezerro adquira imunidade é parte da estratégia de controle.,O rodízio e descanso de pastagens ajudam na redução da infestação.,,B
HELMINTOS,142,Marque a alternativa CORRETA sobre a fase de pós-patência da infecção por Dictyocaulus viviparus:,É a fase onde os vermes adultos estão se desenvolvendo no intestino delgado.,"Ocorre regeneração completa do tecido pulmonar, sem sequelas.","Há eliminação dos vermes adultos, mas pode haver fibrose brônquica e pneumonia intersticial aguda.",Não há mais risco de sintomas clínicos após a eliminação dos vermes.,,C
HELMINTOS,143,Marque a alternativa CORRETA sobre a Aelurostrongilose em gatos:,É causada por um helminto que se aloja nos rins de felinos.,"Tem como agente o *Aelurostrongylus abstrusus*, um nematoide que parasita o parênquima pulmonar.",Apresenta alta mortalidade e resistência a todos os anti-helmínticos disponíveis.,A infecção ocorre exclusivamente pela ingestão de larvas em água contaminada.,,B
HELMINTOS,144,Marque a alternativa INCORRETA sobre o ciclo ou sintomas da Aelurostrongilose:,"O ciclo do parasita é heteroxênico, envolvendo moluscos como hospedeiros intermediários.",Roedores e aves podem atuar como hospedeiros paratênicos.,Os gatos infectados geralmente apresentam quadros neurológicos intensos.,"A doença pode ser assintomática, mas também causar tosse e dispneia",,C
HELMINTOS,145,Marque a alternativa CORRETA sobre o diagnóstico da Aelurostrongilose:,A única forma confiável de diagnóstico é o exame radiográfico.,A identificação do parasito é feita exclusivamente por hemograma.,O método de Baermann pode ser utilizado para detectar larvas nas fezes.,"O diagnóstico é sempre clínico, baseado apenas nos sinais respiratórios.",,C
HELMINTOS,146,Qual o hospedeiro intermediário do Metastrongylus spp.?,Caramujos,Besouros,Minhocas,Moscas,Baratas,C
HELMINTOS,147,Marque a alternativa INCORRETA sobre a Metastrongilose em suínos:,Leitões jovens são os mais suscetíveis à infecção.,A principal via de infecção é a ingestão do hospedeiro intermediário.,"A doença causa pneumonia secundária, tosse e dispneia.",Suínos criados em granja estão mais suscetíveis,,D
HELMINTOS,148,Sobre o hospedeiro intermediário da Metastrongilose é correto afirmar:,É um molusco encontrado em locais com rios,"É um anelídeo, neste ocorre às evolução da larva de L1 a L2, sendo a última a forma infectante","O anelídeo é o hospedeiro intermediário, este é infectado pela larva na fase L1 permanecendo até L3 quando sai do HI e volta para ambiente para infectar os suínos",É uma minhoca que uma vez infectada pela forma L1 desenvolve até L3 e se ingerida causa a Metastrongilose em suínos,,D
HELMINTOS,149,Marque a alternativa CORRETA sobre Spirocerca lupi:,"Seu ciclo biológico é direto, sem necessidade de hospedeiros intermediários.",A forma adulta do parasita localiza-se nos alvéolos pulmonares.,O parasita adulto causa lesões granulomatosas no esôfago e no estômago.,A infecção em cães ocorre somente por via transplacentária.,,C
HELMINTOS,150,Marque a alternativa INCORRETA sobre o ciclo e a patogenia de Spirocerca lupi:,A migração larval pode provocar aneurismas na aorta dos cães.,O parásito utiliza besouros coprófagos como hospedeiros intermediários.,"Na fase adulta há migração pela aorta, enquanto na fase larval estas estão presente apenas no esofago e estomago",A ingestão de lagartos ou roedores pode transmitir a infecção aos cães,,C
HELMINTOS,151,Quanto ao hospedeiro paratênico (HP) da Spirocerca lupi marque a alternativa correta,"Os besouros coprofagos são HP, não sendo necessarios para completar o ciclo",Os HP são os anelídeos,"Os HP são os moluscos, roedores e aves",Os HP podem ou não está presente no ciclo,,D
HELMINTOS,152,Marque a alternativa CORRETA sobre a infecção por Spirocerca lupi:,O parasita adulto é encontrado comumente no intestino delgado de cães.,A infecção pode causar cólica trombo embólica em equinos,A infecção pode causar estenose esofágica e aneurisma da aorta em cães.,"O parasito possui ciclo direto, típico de nematoides intestinais.",,C
HELMINTOS,153,"Sobre o ciclo biológico de Physaloptera praeputialis, assinale a alternativa CORRETA:",A forma infectante é a larva L1 eliminada nas fezes.,Cães e gatos se infectam por via transplacentária.,"Os hospedeiros intermediários incluem baratas, besouros e grilos.",A forma adulta do parasito se instala no intestino grosso dos animais.,,C
HELMINTOS,154,"Em relação à patogenia da *Physaloptera praeputialis*, marque a alternativa INCORRETA:",Pode causar gastrite hemorrágica devido à ação hematófaga.,Os animais infectados são sempre sintomáticos.,Melena e vômitos são possíveis sinais clínicos.,"Em muitos casos, o diagnóstico ocorre somente na necropsia.",,B
HELMINTOS,155,Assinale a alternativa INCORRETA sobre a infecção por Physaloptera praeputialis:,O parasito é cosmopolita e afeta cães e gatos.,Os ovos são eliminados nas fezes já contendo larvas.,Os vermes adultos se instalam na mucosa do estômago.,O método de flutuação são os mais utilizados para diagnóstico,,D
HELMINTOS,156,Qual das alternativas representa uma característica típica da infecção por *Physaloptera praeputialis* em cães e gatos?,Os vermes adultos se localizam nos brônquios e causam dispneia.,A infecção ocorre principalmente por ingestão de ovos no ambiente.,Os animais infectados geralmente apresentam vômitos e melena.,O hospedeiro intermediário é exclusivamente o roedores,,C
HELMINTOS,157,Qual das seguintes afirmações sobre Ancylostoma sp. está CORRETA?,Ancylostoma braziliense apresenta alta patogenicidade por ser altamente hematófago.,Ancylostoma caninum pode causar infecção por via transmamária em filhotes.,A forma infectante é o ovo embrionado eliminado nas fezes.,A zoonose causada por Ancylostoma tubaeforme é a Larva Migrans Cutânea.,,B
HELMINTOS,158,Qual é a principal via de infecção por Ancylostoma caninum em filhotes recém-nascidos?,Ingestão de aves de roedores infectados por L3,Inalação de larvas no ambiente,Via transmamária,Mordidas de outros animais,,C
HELMINTOS,159,Qual das espécies abaixo é hematófaga?,*Ancylostoma caninum*,*Ancylostoma tubaeforme*,*Ancylostoma braziliense*,*Uncinaria stenocephala*,,A
HELMINTOS,160,"Sobre a Larva Migrans Cutânea (LMC), assinale a alternativa correta:",É causada por ingestão de larvas de Ancylostoma tubaeforme,Ocorre devido à penetração de larvas L1 na pele,É causada principalmente por Ancylostoma braziliense,É transmitida por picadas de vetores hematófagos,,C
HELMINTOS,161,Qual dos seguintes sinais clínicos está mais relacionado Ancylostoma caninum?,Timpanismo,Melena e anemia,Dermatite alérgica,Salivação excessiva,,B
HELMINTOS,162,Qual das alternativas a seguir descreve corretamente as  via de transmissão de Toxocara canis ?,Via oral e transplacentária,Somente via transplacentária,Via cutânea e oral,"Via transplacentária, oral e transmamária",,D
HELMINTOS,163,"Em humanos, a infecção por Toxocara sp. pode causar qual das seguintes condições?",Larva migrans cutânea,Larva migrans hepática,Larva migrans ocular e visceral,Enterite hemorrágica aguda,,C
HELMINTOS,164,Qual das espécies de *Toxocara* não apresenta transmissão transplacentária?,*Toxocara canis*,*Toxocara cati*,*Toxascaris leonina*,Todas apresentam,,B
HELMINTOS,165,Sobre o toracara canis é correto afirmar?,"Não é uma zoonose, infecta apenas cães",È uma zoonose e apesar do nome pode infectar cães e gatos também,Nos humanos é responsável pela larva migrans cutânea,"É responsável pela larva migrans visceral, sendo os principais órgão acometido o fígado, intestino e coração.","As vias de infecção é oral, transplacentária e transmamária, sendo esta última  menos importante",E
HELMINTOS,166,Qual das manifestações clínicas pode ser observada em infecções intensas por *Toxocara canis*?,Prolapso retal,"Obstrução intestinal, tosse e edema pulmonar",Icterícia e tenesmo,Dermatite ulcerativa,,B
HELMINTOS,167,"Em relação à migração larval de *Toxocara canis* em filhotes com menos de  meses de idade, qual é o trajeto correto?",Trato gastrointestinal → fígado → pulmões → traqueia → intestino,Pele → vasos linfáticos → coração → rins,Intestino → fígado → rins → intestino,Pulmões → pele → intestino,,A
HELMINTOS,168,"Sobre o ciclo de vida de *Trichuris vulpis*, assinale a alternativa correta:",Ocorre migração pulmonar das larvas após ingestão.,A forma infectante é o ovo embrionado contendo larva L3.,O parasita se aloja no intestino delgado dos cães.,O ovo contendo larva L1 é a forma infectante e pode resistir por anos no ambiente.,,D
HELMINTOS,169,Qual das manifestações clínicas abaixo é mais comumente associada à infecção por *Trichuris vulpis* em cães gravemente parasitados?,Dermatite alérgica,Prolapso retal,Convulsões,Icterícia,,B
HELMINTOS,170,Assinale a alternativa incorreta sobre *Trichuris vulpis*:,O ciclo ocorre sem necessidade de hospedeiros intermediários.,Os ovos são eliminados nas fezes e podem permanecer viáveis no ambiente por anos.,A forma adulta habita o ceco e o cólon dos cães.,Cães e gatos são hospedeiros naturais desse parasita.,,D
HELMINTOS,171,Qual das alternativas representa um método diagnóstico laboratorial adequado para detecção de ovos de *Trichuris vulpis* nas fezes?,Método de Baermann,Raspado cutâneo,Flutuação fecal,Sedimentação simples,,C
HELMINTOS,172,Qual a principal medida para evitar a resistência aos anti-helmínticos nos protocolos de desverminação em cães?,Vermifugar mensalmente com o mesmo princípio ativo.,Administrar apenas durante surtos de parasitose.,Alternar o princípio ativo a cada 3 ciclos de vermifugação.,Usar antibióticos junto aos vermífugos.,,C
HELMINTOS,173,Quais são os principais hospedeiros intermediários (HI) do Dipylidium caninum?,Carrapatos e mosquitos,Pulgas e piolhos,Caramujos e lesmas,Roedores e aves,Moscas,B
HELMINTOS,174,Qual a forma infectante do Dipylidium caninum para o hospedeiro definitivo?,Proglotes,Ovo,Larva cisticercóide,Adulto,Forma L3,C
HELMINTOS,175,"Sobre o ciclo de vida do *Dipylidium caninum*, assinale a alternativa correta:",A infecção ocorre pela ingestão de ovos presentes no solo.,Os cães e gatos se infectam ao ingerir proglotes eliminados nas fezes.,A infecção ocorre pela ingestão de pulgas ou piolhos infectados com cisticercóides.,A forma infectante é a larva L3 presente em vegetais contaminados.,,C
HELMINTOS,176,"Em relação à zoonose causada por *Dipylidium caninum*, marque a alternativa correta:",Acomete preferencialmente idosos.,Humanos não são suscetíveis a esse parasita.,Crianças podem se infectar acidentalmente ao ingerirem pulgas.,A infecção ocorre pela penetração da larva na pele,,C
HELMINTOS,177,"Sobre o parasita *Dipylidium caninum*, assinale a alternativa INCORRETA:","É um cestódeo que pode infectar cães, gatos e seres humanos.",A espécie D. caninum é específica de cães e D. felis ocorre somente em gatos e humanos,A forma infectante para o hospedeiro definitivo é o cisticercoide presente nas pulgas ou piolhos.,A infecção em humanos ocorre principalmente em crianças.,,B
HELMINTOS,178,Por que não é mais utilizado o  tratamento adulticida para a Dirofilariose ?,Porque deixam os animais debilitado devido a seu efeitos imunossupressor,Porque os vermes adultos já se tornaram resistente as esses fármacos,"Porque pode levar ao desprendimento dos vermes adultos, causando tromboembolismo pulmonar.",Porque promove morte das microfilárias causando tromboembolismo pulmonar,Notou-se que esses fármacos não tem ação sobre os vermes quando estão presentes dentro da câmaras cardíacas,C
HELMINTOS,179,Qual das alternativas a seguir está CORRETA sobre a Dirofilariose?,O gato é um hospedeiro intermediário e importante na transmissão da doença.,A forma adulta da *Dirofilaria immitis* se localiza no intestino delgado dos cães.,A transmissão só ocorre quando o mosquito inocula larvas L3 durante o repasto sanguíneo.,A infecção por Dirofilaria ocorre mesmo sem a presença de microfilárias no sangue periférico.,,C
HELMINTOS,180,"Sobre a sintomatologia da Dirofilariose, é INCORRETO afirmar que:",A maioria dos casos em cães é subclínica ou apresenta sinais leves.,"Casos graves podem apresentar edema pulmonar, caquexia e ascite.","Em gatos, é comum encontrar grande número de vermes adultos no coração.",A obstrução da veia cava caudal é uma complicação grave e pode ser fatal rapidamente.,,C
HELMINTOS,181,Os vetores responsáveis pela transmissão de Dirofilariose pertencem ao gênero:,"Simulium, Anopheles, Ctenocephalides","Aedes, Culex e Anopheles","Pulex, Trichodectes, Culex","Lutzomyia, Culex, Tabanus",,B
HELMINTOS,182,A zoonose causada por *Dirofilaria immitis* em humanos geralmente se manifesta como:,Enterite hemorrágica.,Dirofilariose cardíaca com insuficiência valvular.,Lesão pulmonar por larvas migrantes.,Nefrite crônica com proteinúria.,,C
HELMINTOS,183,"Sobre o diagnóstico da Dirofilariose, assinale a alternativa INCORRETA:",O teste de Knott modificado é utilizado para concentrar e identificar microfilárias no sangue.,O diagnóstico sorológico pode ser feito por kit de ELISA.,As microfilárias aparecem na circulação dias após a infecção sendo possível o diagnóstico nas primeiras semanas após infecção,"A radiografia pode mostrar dilatação cardíaca, sendo sugestivo para infecção pelo parasita",Os testes Kit de ELISA e Knott modificado são testes direto,C
HELMINTOS,184,A principal forma de prevenção da cisticercose humana é:,Evitar o contato com animais infectados.,Beber água fervida.,Consumir carne bem cozida e melhorar práticas de saneamento básico.,Tomar vacina contra Taenia solium.,Aplicar antiparasitários nos animais,C
HELMINTOS,185,A neurocisticercose ocorre quando:,O ser humano ingere carne mal passada de boi.,O ser humano ingere ovos da Taenia solium.,O suíno ingere carne contaminada.,O bovino ingere proglotes da Taenia saginata.,A larva se aloja exclusivamente na musculatura esquelética humana.,B
HELMINTOS,186,A infecção humana pela *Taenia saginata* ocorre por meio de:,Ingestão de ovos eliminados nas fezes de bovinos.,Ingestão de carne bovina crua ou mal cozida contendo cisticercos.,Ingestão de carne suína crua ou mal passada contendo cisticercos,Contato direto com a mucosa intestinal de animais infectados.,,B
HELMINTOS,187,"A respeito da cisticercose em suínos, é CORRETO afirmar:",A infecção ocorre pela ingestão de carne bovina mal passada.,Os principais locais de instalação dos cisticercos são fígado e rins.,Pode causar sinais como paralisia da língua e dificuldade na mastigação.,"Os suínos eliminam ovos nas fezes, servindo como fonte de infecção.",,C
HELMINTOS,188,Qual é o exame mais indicado para o diagnóstico de Teníase no homem?,Pesquisa de larvas no sangue periférico.,Cultura de fezes em meio seletivo.,Presença de anéis de Taenia na roupa íntima ou fezes.,Sorologia por ELISA.,,C
HELMINTOS,189,Marque a alternativa que NÃO representa uma via de infecção por cisticercose:,Auto-infecção endógena por retroperistaltismo.,Ingestão de carne suína mal cozida contendo cisticercos.,Hetero-infecção por ovos presentes em verduras contaminadas.,Auto-infecção exógena por má higiene das mãos.,,B
HELMINTOS,190,"Sobre a Equinococose, assinale a alternativa CORRETA:",O ser humano é o hospedeiro definitivo de *Echinococcus granulosus*.,"Os cães desenvolvem a forma larval da doença, denominada hidatidose.",A equinococose corresponde à forma adulta do parasito em cães e canídeos.,Os bovinos são os principais transmissores da equinococose aos cães.,,C
HELMINTOS,191,Qual das alternativas descreve uma medida correta de prevenção da cisticercose?,Congelar a carne a -2 °C por 2 dias elimina cisticercos.,Cozinhar bem a carne e tratar adequadamente esgotos humanos.,Lavar a carne crua com vinagre antes do consumo elimina os parasitas.,A cisticercose é evitada exclusivamente com a vacinação de suínos.,,B
HELMINTOS,192,Assinale o hospedeiro intermediário mais importante na epidemiologia da hidatidose:,Caprinos,Bovinos,Suínos,Ovinos,,D
HELMINTOS,193,O principal hospedeiro definitivo na equinococose é:,Asininos,Ovinos.,Equinos,Cães.,Ser humano.,D
HELMINTOS,194, Por que cães não desenvolvem a hidatidose?,Porque não possuem ácido deoxicólico para ativar a oncosfera.,Porque não ingerem os ovos.,Porque a imunidade natural os protege.,Porque são apenas hospedeiros intermediários.,Porque a forma larval não sobrevive em seu intestino.,A
HELMINTOS,195,"Sobre a transmissão da Hidatidose, é INCORRETO afirmar:",O homem pode adquirir a infecção por contato com cães contaminados.,Os cistos hidáticos se formam após ingestão de carne crua contaminada.,Os ovos do parasito podem contaminar o ambiente via fezes de cães.,O homem atua como hospedeiro intermediário acidental,,B
HELMINTOS,196,"Em humanos, qual órgão é mais frequentemente afetado pela hidatidose?",Coração,Baço,Fígado,Rins,,C
HELMINTOS,197,Qual alternativa apresenta uma medida correta de prevenção da Equinococose- Hidatidose?,Alimentar os cães com vísceras cruas provenientes de matadouros.,"Evitar o uso de vermífugos em cães, para não interferir na flora intestinal.",Reduzir o contato entre cães e carnes cruas contaminadas.,Estimular o abate clandestino para evitar inspeção de cistos.,,C
HELMINTOS,198,A forma infectante da Fasciola hepatica para os hospedeiros definitivos é:,Miracídio.,Forma L3,Cercária.,Metacercária.,Ovo.,D
HELMINTOS,199,A importância econômica da fasciolose está relacionada principalmente a:,As alterações de vísceras são pouco perceptíveis e passam despercebidas no abatedouro não comprometendo a comercialização.,Há condenação das alças intestinais dos animais que estão parasitados .,Condenação de fígados e redução da produtividade.,Risco de epidemias em humanos.,Toda a carcaça é condenada se o animal estiver parasitado por representar grande risco de contaminação humana,C
HELMINTOS,200,Qual das alternativas corresponde corretamente ao hospedeiro intermediário de Fasciola hepatica?,Capivara,Bovino,Caramujo do gênero Lymnaea,Rato-do-banhado,,C
HELMINTOS,201,Qual das espécies animais apresenta maior suscetibilidade à forma aguda da fasciolose?,Bovinos,Caprinos,Ovinos,Suínos,,C
HELMINTOS,202,"Sobre a patogenia da fasciolose, marque a alternativa INCORRETA:",A metacercária desencista no intestino delgado e migra para o fígado.,A fase aguda é caracterizada por lesões provocadas durante a migração larval.,A fase crônica é associada à presença do parasita nos pulmões.,A obstrução dos ductos biliares ocorre na fase adulta crônica,,C
ECTOPARASITAS,203,Qual das medidas abaixo é considerada eficaz no controle da fasciolose em áreas endêmicas?,Uso de praziquantel nos animais de produção,Liberação de ovos de *Fasciola hepatica* em pastagens secas,Controle dos moluscos com malacolicidas e drenagem de terrenos alagados,Introdução de novos caramujos para competir com *Lymnaea* spp,,C
ECTOPARASITAS,204,Qual dos seguintes ácaros vive nos folículos pilosos e glândulas sebáceas dos cães?,Sarcoptes scabiei,Psoroptes ovis,Demodex canis,Notoedres cati,,C
ECTOPARASITAS,205,Qual sarna é considerada altamente contagiosa entre gatos e se dissemina pelo contato direto?,Sarna demodécica,Sarna otodécica,Sarna notoédrica,Sarna corióptica,,C
ECTOPARASITAS,206,"Sobre a sarna demodécica canina, é correto afirmar que:",É altamente contagiosa entre cães.,Está sempre associada a prurido intenso.,É mais comum em cães adultos saudáveis.,Pode apresentar forma localizada ou generalizada.,,D
ECTOPARASITAS,207,A sarna causada por *Otodectes cynotis* acomete principalmente:,Cães e gatos,Bovinos,Suínos,Equinos,,A
ECTOPARASITAS,208,Qual é a forma de transmissão da demodiciose em cães?,Ingestão de água contaminada,Inalação de ácaros no ambiente,Contato direto com secreções nasais,Contato íntimo entre a mãe e os filhotes,,D
ECTOPARASITAS,209,O habitat de *Sarcoptes scabiei* em cães geralmente inclui:,"Dorso, cauda e pavilhão auricular","Pavilhão auricular, cotovelos e abdome",Pescoço e escápula,Narinas e coxas,,B
ECTOPARASITAS,210,Qual espécie causa sarna sarcóptica em cães?,Sarcoptes ovis,Notoedres cati,Sarcoptes scabiei,Chorioptes bovis,,C
ECTOPARASITAS,211,A sarna sarcóptica é caracterizada principalmente por:,Lesões ulceradas e alopecia generalizada sem prurido,"Prurido intenso, eritema, crostas e escoriações",Pústulas e secreção purulenta intensa,Presença de larvas migratórias,,B
ECTOPARASITAS,212,Em qual espécie a sarna notoédrica é considerada rara?,Gatos,Cães,Coelhos,Suínos,,B
